Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Series A - Goalsetter,https://www.crunchbase.com/funding_round/goalsetter-series-a--7cce9d85,"Brooklyn, New York, United States, North America",Goalsetter,https://www.crunchbase.com/organization/goalsetter,Series A,9600000,USD,9600000,2024-03-25,Yes,$1M to $10M,http://www.goalsetter.co,"Black Founded, Women Founded, Women Led",3,9
Series A - Nirvana Health,https://www.crunchbase.com/funding_round/nirvana-health-series-a--892fd9a8,"New York, New York, United States, North America",Nirvana Health,https://www.crunchbase.com/organization/nirvana-health,Series A,24200000,USD,24200000,2024-09-12,Yes,$1M to $10M,https://www.meetnirvana.com,,3,4
Series A - Canopy,https://www.crunchbase.com/funding_round/canopy-c3b1-series-a--178bd900,"San Francisco, California, United States, North America",Canopy,https://www.crunchbase.com/organization/canopy-c3b1,Series A,15200000,USD,15200000,2023-10-10,Yes,$10M to $50M,https://canopyservicing.com/,,,2
Series A - FlexFactor,https://www.crunchbase.com/funding_round/flexfactor-series-a--d6cbc07d,"Miami, Florida, United States, North America",FlexFactor,https://www.crunchbase.com/organization/flexfactor,Series A,16800000,USD,16800000,2024-10-10,Yes,,https://www.flexfactor.io,,1,1
Series A - Backer,https://www.crunchbase.com/funding_round/backerteam-series-a--2e39f533,"San Francisco, California, United States, North America",Backer,https://www.crunchbase.com/organization/backerteam,Series A,9500000,USD,9500000,2023-12-18,Yes,$1M to $10M,https://backer.com,Women Founded,1,1
Series A - TigerBeetle,https://www.crunchbase.com/funding_round/tigerbeetle-series-a--86669330,"San Francisco, California, United States, North America",TigerBeetle,https://www.crunchbase.com/organization/tigerbeetle,Series A,23999968,USD,23999968,2024-06-11,Yes,$1M to $10M,https://tigerbeetle.com/,,,
Series A - Burnt,https://www.crunchbase.com/funding_round/burnt-finance-series-a--21e980aa,"New York, New York, United States, North America",Burnt,https://www.crunchbase.com/organization/burnt-finance,Series A,25000000,USD,25000000,2024-04-01,Yes,$10M to $50M,https://burnt.com,,,7
Series A - RemoFirst,https://www.crunchbase.com/funding_round/remoteam-series-a--976ebf8b,"San Francisco, California, United States, North America",RemoFirst,https://www.crunchbase.com/organization/remoteam,Series A,25000000,USD,25000000,2024-03-06,Yes,$1M to $10M,https://remofirst.com/,,3,4
Series A - Membrane Labs,https://www.crunchbase.com/funding_round/membrane-labs-series-a--e39045d3,"New York, New York, United States, North America",Membrane Labs,https://www.crunchbase.com/organization/membrane-labs,Series A,20000000,USD,20000000,2023-10-11,Yes,$1M to $10M,https://membranelabs.com ,,,13
Series A - Chargezoom,https://www.crunchbase.com/funding_round/chargezoom-series-a--74a1d732,"Irvine, California, United States, North America",Chargezoom,https://www.crunchbase.com/organization/chargezoom,Series A,11500000,USD,11500000,2024-12-16,Yes,$1M to $10M,https://chargezoom.com,Indigenous Led,2,8
Series A - Onward,https://www.crunchbase.com/funding_round/Onward-series-a--c3f2c898,"Los Angeles, California, United States, North America",Onward,https://www.crunchbase.com/organization/Onward,Series A,9700000,USD,9700000,2022-10-27,Yes,,https://onwardapp.com,"Women Founded, Women Led",3,5
Series A - Equi,https://www.crunchbase.com/funding_round/equilibrium-c6f6-series-a--48db3261,"New York, New York, United States, North America",Equi,https://www.crunchbase.com/organization/equilibrium-c6f6,Series A,15000000,USD,15000000,2022-10-03,Yes,$1M to $10M,https://www.equi.com,,3,4
Series A - jiritsu.network,https://www.crunchbase.com/funding_round/jiritsu-network-series-a--979a8d90,"Santa Monica, California, United States, North America",jiritsu.network,https://www.crunchbase.com/organization/jiritsu-network,Series A,10200000,USD,10200000,2023-09-19,Yes,,http://jiritsu.network/,,4,14
Series A - Bonumbit,https://www.crunchbase.com/funding_round/company-bonumbitt-inc-series-a--d5cbc0af,"San Jose, California, United States, North America",Bonumbit,https://www.crunchbase.com/organization/company-bonumbitt-inc,Series A,5000000,USD,5000000,2024-08-09,Yes,,https://bonumbit.com,,,1
Series A - Chipper Cash,https://www.crunchbase.com/funding_round/chipper-cash-series-a--88446010,"San Francisco, California, United States, North America",Chipper Cash,https://www.crunchbase.com/organization/chipper-cash,Series A,13800000,USD,13800000,2020-06-16,Yes,$100M to $500M,https://www.chippercash.com,Black Founded,3,13
Series A - Hourly,https://www.crunchbase.com/funding_round/hourly-series-a--d6614a50,"Palo Alto, California, United States, North America",Hourly,https://www.crunchbase.com/organization/hourly,Series A,5000000,USD,5000000,2022-11-01,Yes,$10M to $50M,https://www.hourly.io,,1,1
Series A - LunarCrush,https://www.crunchbase.com/funding_round/lunarcrush-series-a--4f42517d,"Costa Mesa, California, United States, North America",LunarCrush,https://www.crunchbase.com/organization/lunarcrush,Series A,5000000,USD,5000000,2023-07-12,Yes,$1M to $10M,https://www.lunarcrush.com,,2,19
Series A - Tenet,https://www.crunchbase.com/funding_round/tenet-e63b-series-a--82eb3bbb,"New York, New York, United States, North America",Tenet,https://www.crunchbase.com/organization/tenet-e63b,Series A,10000000,USD,10000000,2023-11-15,Yes,$10M to $50M,https://tenet.com/,,2,3
Series A - Cognaize,https://www.crunchbase.com/funding_round/cognaize-series-a--92676ac4,"New York, New York, United States, North America",Cognaize,https://www.crunchbase.com/organization/cognaize,Series A,20000000,USD,20000000,2023-07-18,Yes,$50M to $100M,https://www.cognaize.com/,,2,2
Series A - Treasure Financial,https://www.crunchbase.com/funding_round/treasure-financial-series-a--6573986c,"San Francisco, California, United States, North America",Treasure Financial,https://www.crunchbase.com/organization/treasure-financial,Series A,7500000,USD,7500000,2023-08-09,Yes,Less than $1M,https://www.treasurefi.com,,1,2
Series A - Gynger,https://www.crunchbase.com/funding_round/gynger-io-series-a--2870053d,"New York, New York, United States, North America",Gynger,https://www.crunchbase.com/organization/gynger-io,Series A,20000000,USD,20000000,2024-06-20,Yes,$1M to $10M,https://www.gynger.io,,4,7
Series A - Clerkie,https://www.crunchbase.com/funding_round/clerkie-series-a--1999a294,"San Francisco, California, United States, North America",Clerkie,https://www.crunchbase.com/organization/clerkie,Series A,33000000,USD,33000000,2023-04-18,Yes,$1M to $10M,https://clerkie.io,"Black Founded, Black Led",2,10
Series A - BlueX Trade,https://www.crunchbase.com/funding_round/bluex-trade-series-a--3736d1cc,"San Francisco, California, United States, North America",BlueX Trade,https://www.crunchbase.com/organization/bluex-trade,Series A,2681445,USD,2681445,2023-04-04,Yes,$1M to $10M,https://www.bluextrade.com/,,1,1
Series A - Knot,https://www.crunchbase.com/funding_round/knot-api-series-a--8be69ff2,"New York, New York, United States, North America",Knot,https://www.crunchbase.com/organization/knot-api,Series A,10000000,USD,10000000,2023-08-03,Yes,,https://www.knotapi.com/,,1,21
Series A - Apical Technology,https://www.crunchbase.com/funding_round/apical-technology-series-a--e2efe3ae,"San Francisco, California, United States, North America",Apical Technology,https://www.crunchbase.com/organization/apical-technology,Series A,2100000,USD,2100000,2024-10-01,Yes,$1M to $10M,http://apical.ai,,,
Series A - Aiera,https://www.crunchbase.com/funding_round/aiera-inc-series-a--17aea2e6,"New York, New York, United States, North America",Aiera,https://www.crunchbase.com/organization/aiera-inc,Series A,7000000,USD,7000000,2020-02-12,Yes,$1M to $10M,https://www.aiera.com,,,7
Series A - CNote,https://www.crunchbase.com/funding_round/cnote-series-a--cdab3cd1,"Oakland, California, United States, North America",CNote,https://www.crunchbase.com/organization/cnote,Series A,7250000,USD,7250000,2022-09-19,Yes,$1M to $10M,http://www.mycnote.com,"Women Founded, Women Led",2,13
Series A - Ondo Finance,https://www.crunchbase.com/funding_round/ondo-finance-series-a--f7fcc8db,"New York, New York, United States, North America",Ondo Finance,https://www.crunchbase.com/organization/ondo-finance,Series A,20000000,USD,20000000,2022-04-27,Yes,$1M to $10M,https://ondo.finance/,,3,9
Series A - Payabli,https://www.crunchbase.com/funding_round/payabli-series-a--48c3b8d9,"Miami, Florida, United States, North America",Payabli,https://www.crunchbase.com/organization/payabli,Series A,20000000,USD,20000000,2024-06-25,Yes,$1M to $10M,https://www.payabli.com,,4,4
Series A - Jacobi,https://www.crunchbase.com/funding_round/jacobi-series-a--f4f3b618,"San Francisco, California, United States, North America",Jacobi,https://www.crunchbase.com/organization/jacobi,Series A,10000000,USD,10000000,2022-09-20,Yes,Less than $1M,https://www.jacobistrategies.com,Women Founded,1,4
Series A - InterPrice Technologies,https://www.crunchbase.com/funding_round/interprice-series-a--08a37ec8,"New York, New York, United States, North America",InterPrice Technologies,https://www.crunchbase.com/organization/interprice,Series A,7300000,USD,7300000,2022-11-02,Yes,$1M to $10M,https://interpricetech.com/,Women Founded,3,3
Series A - Arcus Financial Intelligence,https://www.crunchbase.com/funding_round/arcus-17f2-series-a--24309251,"New York, New York, United States, North America",Arcus Financial Intelligence,https://www.crunchbase.com/organization/arcus-17f2,Series A,7900000,USD,7900000,2017-12-07,Yes,$1M to $10M,https://www.arcusfi.com,,5,10
Series A - Savvy Wealth,https://www.crunchbase.com/funding_round/savvy-wealth-series-a--dbeb5c58,"New York, New York, United States, North America",Savvy Wealth,https://www.crunchbase.com/organization/savvy-wealth,Series A,15500000,USD,15500000,2024-08-05,Yes,$1M to $10M,https://savvywealth.com,,3,6
Series A - Functional Finance,https://www.crunchbase.com/funding_round/functional-finance-6b5d-series-a--2994d1e8,"San Francisco, California, United States, North America",Functional Finance,https://www.crunchbase.com/organization/functional-finance-6b5d,Series A,20000000,USD,20000000,2024-05-30,Yes,$1M to $10M,https://www.functionalfi.com,Women Founded,2,4
Series A - Kard,https://www.crunchbase.com/funding_round/kard-series-a--17b47df1,"New York, New York, United States, North America",Kard,https://www.crunchbase.com/organization/kard,Series A,23000000,USD,23000000,2022-04-28,Yes,$1M to $10M,http://www.getkard.com,,1,6
Series A - Tribal,https://www.crunchbase.com/funding_round/tribalcredit-series-a--cb2220f4,"San Francisco, California, United States, North America",Tribal,https://www.crunchbase.com/organization/tribalcredit,Series A,34300000,USD,34300000,2021-04-21,Yes,$1M to $10M,https://www.tribal.credit,,3,10
Series A - Ready,https://www.crunchbase.com/funding_round/ready-e28c-series-a--4e0bcc30,"San Francisco, California, United States, North America",Ready,https://www.crunchbase.com/organization/ready-e28c,Series A,10500000,USD,10500000,2022-10-09,Yes,$1M to $10M,https://ready.net/,,2,4
Series A - Atlys,https://www.crunchbase.com/funding_round/atlys-series-a--e9c90dd6,"San Francisco, California, United States, North America",Atlys,https://www.crunchbase.com/organization/atlys,Series A,12000000,USD,12000000,2023-09-20,Yes,$1M to $10M,https://www.atlys.com,,3,5
Series A - Mos,https://www.crunchbase.com/funding_round/mos-series-a--4895decc,"San Francisco, California, United States, North America",Mos,https://www.crunchbase.com/organization/mos,Series A,13300000,USD,13300000,2020-05-13,Yes,$1M to $10M,https://www.mos.com,"Middle Eastern / North African Founded, Middle Eastern / North African Led, Women Founded, Women Led",3,9
Series A - OpenEnvoy,https://www.crunchbase.com/funding_round/openenvoy-series-a--e8662be0,"San Mateo, California, United States, North America",OpenEnvoy,https://www.crunchbase.com/organization/openenvoy,Series A,15000000,USD,15000000,2023-05-03,Yes,$1M to $10M,https://openenvoy.com,,4,5
Series A - Goldfinch,https://www.crunchbase.com/funding_round/goldfinch-series-a--da94c980,"Walnut, California, United States, North America",Goldfinch,https://www.crunchbase.com/organization/goldfinch,Series A,25000000,USD,25000000,2022-01-07,Yes,,https://goldfinch.finance,,,15
Series A - Runway Financial,https://www.crunchbase.com/funding_round/runway-financial-series-a--7ebd7164,"San Francisco, California, United States, North America",Runway Financial,https://www.crunchbase.com/organization/runway-financial,Series A,27500000,USD,27500000,2023-07-17,Yes,$10M to $50M,https://runway.com/,,1,3
Series A - Starship,https://www.crunchbase.com/funding_round/starship-hsa-series-a--9ac02c66,"New York, New York, United States, North America",Starship,https://www.crunchbase.com/organization/starship-hsa,Series A,7000000,USD,7000000,2019-12-04,Yes,$1M to $10M,https://www.starshiphsa.com,,2,7
Series A - Harness Wealth,https://www.crunchbase.com/funding_round/harness-wealth-series-a--e3cd0c88,"New York, New York, United States, North America",Harness Wealth,https://www.crunchbase.com/organization/harness-wealth,Series A,17000000,USD,17000000,2024-03-05,Yes,$1M to $10M,https://www.harnesswealth.com,Women Founded,,5
Series A - Aperture Finance,https://www.crunchbase.com/funding_round/aperture-finance-series-a--f5ac92d4,"Sunnyvale, California, United States, North America",Aperture Finance,https://www.crunchbase.com/organization/aperture-finance,Series A,6700000,USD,6700000,2024-05-28,Yes,$1M to $10M,https://aperture.finance/,,1,11
Series A - Numeric,https://www.crunchbase.com/funding_round/numeric-39a8-series-a--794777c8,"San Francisco, California, United States, North America",Numeric,https://www.crunchbase.com/organization/numeric-39a8,Series A,28000000,USD,28000000,2024-10-10,Yes,$10M to $50M,https://www.numeric.io/,,2,8
Series A - Scratch,https://www.crunchbase.com/funding_round/scratch-financial-series-a--55670834,"Pasadena, California, United States, North America",Scratch,https://www.crunchbase.com/organization/scratch-financial,Series A,6400000,USD,6400000,2018-05-31,Yes,$1M to $10M,https://scratchpay.com,,1,4
Series A - NAX Group,https://www.crunchbase.com/funding_round/nax-group-series-a--5723dfd2,"Manhattan Beach, California, United States, North America",NAX Group,https://www.crunchbase.com/organization/nax-group,Series A,65000000,USD,65000000,2021-01-13,Yes,$1M to $10M,https://www.naxgrp.com/,,1,2
Series A - Utopia Homes,https://www.crunchbase.com/funding_round/utopia-homes-series-a--f63f6394,"New York, New York, United States, North America",Utopia Homes,https://www.crunchbase.com/organization/utopia-homes,Series A,12000000,USD,12000000,2022-09-11,Yes,,http://www.Utopiahomes.us,,,
