Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Equity Only Funding,Organization Revenue Range,Organization Website,Diversity Spotlight,Number of Partner Investors,Number of Investors
Series A - Flex,https://www.crunchbase.com/funding_round/flexbase-series-a--4664874a,"Miami, Florida, United States, North America",Flex,https://www.crunchbase.com/organization/flexbase,Series A,20000000,USD,20000000,2023-09-19,Yes,$1M to $10M,https://flex.one,,2,7
Series A - AIKON,https://www.crunchbase.com/funding_round/aikon-series-a--5ba72908,"San Francisco, California, United States, North America",AIKON,https://www.crunchbase.com/organization/aikon,Series A,10000000,USD,10000000,2022-09-29,Yes,$10M to $50M,https://aikon.com/,Women Founded,2,8
Series A - Gr4vy,https://www.crunchbase.com/funding_round/gr4vy-series-a--d79a25ef,"San Mateo, California, United States, North America",Gr4vy,https://www.crunchbase.com/organization/gr4vy,Series A,11100000,USD,11100000,2021-04-29,Yes,$1M to $10M,https://gr4vy.com/,,2,4
Series A - Alt,https://www.crunchbase.com/funding_round/alt-xyz-series-a--307750a7,"San Francisco, California, United States, North America",Alt,https://www.crunchbase.com/organization/alt-xyz,Series A,31000000,USD,31000000,2021-03-11,Yes,$10M to $50M,https://www.alt.xyz/,,1,20
Series A - Brex,https://www.crunchbase.com/funding_round/brex-series-a--deb5959d,"San Francisco, California, United States, North America",Brex,https://www.crunchbase.com/organization/brex,Series A,7000000,USD,7000000,2017-04-01,Yes,$100M to $500M,https://brex.com,"Hispanic / Latine Founded, Hispanic / Latine Led",5,13
Series A - Figure,https://www.crunchbase.com/funding_round/figure-66e9-series-a--5efe8452,"San Francisco, California, United States, North America",Figure,https://www.crunchbase.com/organization/figure-66e9,Series A,50000000,USD,50000000,2018-04-30,Yes,$1M to $10M,https://figure.com,"East Asian Founded, Women Founded",8,22
Series A - Stable,https://www.crunchbase.com/funding_round/stable-series-a--e9628e0d,"New York, New York, United States, North America",Stable,https://www.crunchbase.com/organization/stable,Series A,46500000,USD,46500000,2021-04-01,Yes,$1M to $10M,https://www.stableprice.com,,1,6
Series A - Ocrolus,https://www.crunchbase.com/funding_round/ocrolus-series-a--c1405245,"New York, New York, United States, North America",Ocrolus,https://www.crunchbase.com/organization/ocrolus,Series A,4000000,USD,4000000,2018-04-09,Yes,Less than $1M,https://www.ocrolus.com/,Women Founded,5,12
Series A - Banyan Infrastructure,https://www.crunchbase.com/funding_round/banyan-infrastructure-corporation-series-a--91957eaf,"San Francisco, California, United States, North America",Banyan Infrastructure,https://www.crunchbase.com/organization/banyan-infrastructure-corporation,Series A,8200000,USD,8200000,2022-06-22,Yes,Less than $1M,https://www.banyaninfrastructure.com,Women Founded,1,7
Series A - Clear Street,https://www.crunchbase.com/funding_round/clear-street-8e71-series-a--3146c1c9,"New York, New York, United States, North America",Clear Street,https://www.crunchbase.com/organization/clear-street-8e71,Series A,35000000,USD,35000000,2021-11-03,Yes,$1M to $10M,https://clearstreet.io,,,1
Series A - Trullion,https://www.crunchbase.com/funding_round/smrt-series-a--db56a0a4,"New York, New York, United States, North America",Trullion,https://www.crunchbase.com/organization/smrt,Series A,15000000,USD,15000000,2022-02-16,Yes,$1M to $10M,https://www.trullion.com,,3,5
Series A - Checkbook,https://www.crunchbase.com/funding_round/checkbook-io-series-a--468720f2,"San Mateo, California, United States, North America",Checkbook,https://www.crunchbase.com/organization/checkbook-io,Series A,10000000,USD,10000000,2021-11-01,Yes,$1M to $10M,https://www.checkbook.io,,1,4
Series A - Slope,https://www.crunchbase.com/funding_round/slope-677a-series-a--b33eb6db,"San Francisco, California, United States, North America",Slope,https://www.crunchbase.com/organization/slope-677a,Series A,30000000,USD,30000000,2023-09-27,Yes,$1M to $10M,https://slopepay.com,Women Founded,5,15
Series A - Lendtable,https://www.crunchbase.com/funding_round/lendtable-series-a--cfc76858,"San Francisco, California, United States, North America",Lendtable,https://www.crunchbase.com/organization/lendtable,Series A,18000000,USD,18000000,2021-11-10,Yes,Less than $1M,https://www.lendtable.com/,"Black Founded, Black Led",1,9
Series A - PrizePool,https://www.crunchbase.com/funding_round/prizepool-series-a--efecbb86,"San Mateo, California, United States, North America",PrizePool,https://www.crunchbase.com/organization/prizepool,Series A,14320000,USD,14320000,2021-05-02,Yes,$1M to $10M,https://www.getprizepool.com,,3,7
Series A - Stash,https://www.crunchbase.com/funding_round/stash-5-series-a--b14382ec,"New York, New York, United States, North America",Stash,https://www.crunchbase.com/organization/stash-5,Series A,9250000,USD,9250000,2016-08-17,Yes,$100M to $500M,http://www.stash.com,,5,4
Series A - Proper,https://www.crunchbase.com/funding_round/proper-cb14-series-a--e1b1507a,"San Francisco, California, United States, North America",Proper,https://www.crunchbase.com/organization/proper-cb14,Series A,9000000,USD,9000000,2021-06-14,Yes,Less than $1M,https://proper.ai,,1,4
Series A - SoLo Funds,https://www.crunchbase.com/funding_round/solo-funds-inc-series-a--08564fe8,"Los Angeles, California, United States, North America",SoLo Funds,https://www.crunchbase.com/organization/solo-funds-inc,Series A,10000000,USD,10000000,2021-02-10,Yes,$1M to $10M,http://www.solofunds.com,,2,8
Series A - AtoB,https://www.crunchbase.com/funding_round/atob-series-a--74ff3084,"San Francisco, California, United States, North America",AtoB,https://www.crunchbase.com/organization/atob,Series A,25000000,USD,25000000,2021-06-01,Yes,$10M to $50M,https://www.atob.com,Women Founded,3,15
Series A - Crowded,https://www.crunchbase.com/funding_round/crowded-b5d2-series-a--4afc6ede,"Miami, Florida, United States, North America",Crowded,https://www.crunchbase.com/organization/crowded-b5d2,Series A,1001,USD,1001,2024-10-21,Yes,$10M to $50M,http://crowdedfinance.com,,,
Series A - Diamond Standard,https://www.crunchbase.com/funding_round/diamond-standard-series-a--a5be0480,"New York, New York, United States, North America",Diamond Standard,https://www.crunchbase.com/organization/diamond-standard,Series A,30000000,USD,30000000,2022-09-14,Yes,$1M to $10M,https://diamondstandard.co,,2,4
Series A - Bright Money,https://www.crunchbase.com/funding_round/bright-money-series-a--f9683675,"San Francisco, California, United States, North America",Bright Money,https://www.crunchbase.com/organization/bright-money,Series A,31000000,USD,31000000,2021-09-16,Yes,$10M to $50M,https://www.brightmoney.co,,1,10
Series A - Goalsetter,https://www.crunchbase.com/funding_round/goalsetter-series-a--0405227f,"Brooklyn, New York, United States, North America",Goalsetter,https://www.crunchbase.com/organization/goalsetter,Series A,24563000,USD,24563000,2021-12-01,Yes,$1M to $10M,http://www.goalsetter.co,"Black Founded, Women Founded, Women Led",2,17
Series A - Qwil,https://www.crunchbase.com/funding_round/qwil-series-a--98676375,"San Francisco, California, United States, North America",Qwil,https://www.crunchbase.com/organization/qwil,Series A,5000000,USD,5000000,2018-04-03,Yes,$10M to $50M,https://www.qwil.com,,1,7
Series A - Pngme,https://www.crunchbase.com/funding_round/pngme-series-a--5434e270,"San Francisco, California, United States, North America",Pngme,https://www.crunchbase.com/organization/pngme,Series A,15000000,USD,15000000,2021-08-17,Yes,$1M to $10M,https://www.pngme.com,Women Founded,1,14
Series A - BayaniPay,https://www.crunchbase.com/funding_round/bayanipay-series-a--572061bd,"El Segundo, California, United States, North America",BayaniPay,https://www.crunchbase.com/organization/bayanipay,Series A,3000000,USD,3000000,2024-06-13,Yes,$1M to $10M,https://www.bayanipay.com,,2,3
Series A - Asset Class,https://www.crunchbase.com/funding_round/asset-class-series-a--c1177902,"New York, New York, United States, North America",Asset Class,https://www.crunchbase.com/organization/asset-class,Series A,11600000,USD,11600000,2022-07-11,Yes,$1M to $10M,https://www.assetclass.com/,,2,4
Series A - Middesk,https://www.crunchbase.com/funding_round/middesk-series-a--0380f40e,"San Francisco, California, United States, North America",Middesk,https://www.crunchbase.com/organization/middesk,Series A,16000000,USD,16000000,2021-03-24,Yes,$1M to $10M,http://www.middesk.com,,1,3
Series A - Balance,https://www.crunchbase.com/funding_round/balance-e22d-series-a--a25e8d0b,"West Hollywood, California, United States, North America",Balance,https://www.crunchbase.com/organization/balance-e22d,Series A,25000000,USD,25000000,2022-09-08,Yes,$1M to $10M,https://www.balancehomes.com,,3,7
Series A - Gemini,https://www.crunchbase.com/funding_round/gemini-99b2-series-a--9c84f809,"New York, New York, United States, North America",Gemini,https://www.crunchbase.com/organization/gemini-99b2,Series A,423903059,USD,423903059,2021-11-18,Yes,$100M to $500M,https://gemini.com,,2,19
Series A - Kintsugi AI,https://www.crunchbase.com/funding_round/kintsugi-0524-series-a--7be177b5,"San Francisco, California, United States, North America",Kintsugi AI,https://www.crunchbase.com/organization/kintsugi-0524,Series A,6000000,USD,6000000,2024-05-29,Yes,$1M to $10M,https://trykintsugi.com,,1,6
Series A - YieldX,https://www.crunchbase.com/funding_round/yieldx-series-a--6d121525,"Miami, Florida, United States, North America",YieldX,https://www.crunchbase.com/organization/yieldx,Series A,16997221,USD,16997221,2021-10-27,Yes,$10M to $50M,https://www.yieldx.app/,,1,1
Series A - Credora,https://www.crunchbase.com/funding_round/xmargin-series-a--40c4304e,"San Francisco, California, United States, North America",Credora,https://www.crunchbase.com/organization/xmargin,Series A,6000000,USD,6000000,2023-04-25,Yes,,https://credora.io,,1,16
Series A - Pinwheel,https://www.crunchbase.com/funding_round/pinwheel-7871-series-a--eee6f121,"New York, New York, United States, North America",Pinwheel,https://www.crunchbase.com/organization/pinwheel-7871,Series A,20000000,USD,20000000,2021-06-02,Yes,$10M to $50M,https://www.pinwheelapi.com,East Asian Founded,3,14
Series A - RealBlocks,https://www.crunchbase.com/funding_round/realblocks-series-a--5f4b1e0e,"New York, New York, United States, North America",RealBlocks,https://www.crunchbase.com/organization/realblocks,Series A,7000000,USD,7000000,2020-10-30,Yes,$1M to $10M,http://realblocks.com,,3,2
Series A - Brightside,https://www.crunchbase.com/funding_round/brightside-c784-series-a--dc44aece,"San Francisco, California, United States, North America",Brightside,https://www.crunchbase.com/organization/brightside-c784,Series A,35100000,USD,35100000,2020-06-16,Yes,$10M to $50M,https://www.gobrightside.com/,,3,6
Series A - Constrafor,https://www.crunchbase.com/funding_round/constrafor-series-a--fae439b0,"Manhattan, New York, United States, North America",Constrafor,https://www.crunchbase.com/organization/constrafor,Series A,14000000,USD,14000000,2024-11-27,Yes,$1M to $10M,https://www.constrafor.com,,1,2
Series A - Orum.io,https://www.crunchbase.com/funding_round/orum-io-series-a--a4f771f7,"New York, New York, United States, North America",Orum.io,https://www.crunchbase.com/organization/orum-io,Series A,21000000,USD,21000000,2021-04-09,Yes,$1M to $10M,https://orum.io,"Women Founded, Women Led",3,9
Series A - Parametrix Insurance,https://www.crunchbase.com/funding_round/parametrix-series-a--7bbcb14b,"New York, New York, United States, North America",Parametrix Insurance,https://www.crunchbase.com/organization/parametrix,Series A,27500000,USD,27500000,2021-05-26,Yes,$1M to $10M,http://parametrixinsurance.com,Women Founded,2,2
Series A - PayEngine,https://www.crunchbase.com/funding_round/payengine-series-a--15a8ad91,"Los Angeles, California, United States, North America",PayEngine,https://www.crunchbase.com/organization/payengine,Series A,10000000,USD,10000000,2022-05-23,Yes,$1M to $10M,https://www.payengine.co/,,1,4
Series A - Truv,https://www.crunchbase.com/funding_round/citadel-verifications-simplified-series-a--d4f61c27,"San Francisco, California, United States, North America",Truv,https://www.crunchbase.com/organization/citadel-verifications-simplified,Series A,25000000,USD,25000000,2022-03-03,Yes,$1M to $10M,https://www.truv.com/,,,8
Series A - Kore,https://www.crunchbase.com/funding_round/koreconx-series-a--c33df627,"New York, New York, United States, North America",Kore,https://www.crunchbase.com/organization/koreconx,Series A,10000000,USD,10000000,2022-01-04,Yes,Less than $1M,https://www.kore.inc,,,
Series A - Plate IQ,https://www.crunchbase.com/funding_round/plate-iq-series-a--f6d07992,"San Francisco, California, United States, North America",Plate IQ,https://www.crunchbase.com/organization/plate-iq,Series A,4000000,USD,4000000,2017-03-20,Yes,$1M to $10M,http://plateiq.com,,,6
Series A - Biller Genie,https://www.crunchbase.com/funding_round/biller-genie-series-a--8afc193a,"Miami, Florida, United States, North America",Biller Genie,https://www.crunchbase.com/organization/biller-genie,Series A,5000000,USD,5000000,2022-10-19,Yes,$1M to $10M,https://www.billergenie.com/,,,1
Series A - Datarails,https://www.crunchbase.com/funding_round/datarails-series-a--2c0bd2d3,"New York, New York, United States, North America",Datarails,https://www.crunchbase.com/organization/datarails,Series A,3000000,USD,3000000,2018-06-01,Yes,$1M to $10M,http://www.datarails.com,,1,3
Series A - Lumanu,https://www.crunchbase.com/funding_round/lumanu-series-a--044fb013,"Oakland, California, United States, North America",Lumanu,https://www.crunchbase.com/organization/lumanu,Series A,12000000,USD,12000000,2021-07-28,Yes,$10M to $50M,https://www.lumanu.com,,1,5
Series A - Harness Wealth,https://www.crunchbase.com/funding_round/harness-wealth-series-a--4d7e6c72,"New York, New York, United States, North America",Harness Wealth,https://www.crunchbase.com/organization/harness-wealth,Series A,15000000,USD,15000000,2021-06-28,Yes,$1M to $10M,https://www.harnesswealth.com,Women Founded,1,15
Series A - Lev,https://www.crunchbase.com/funding_round/lev-series-a--1f187eff,"New York, New York, United States, North America",Lev,https://www.crunchbase.com/organization/lev,Series A,30000000,USD,30000000,2021-06-20,Yes,$1M to $10M,https://www.levcapital.com,,1,6
Series A - Metaversal,https://www.crunchbase.com/funding_round/metaversal-series-a--8d803fcb,"Miami, Florida, United States, North America",Metaversal,https://www.crunchbase.com/organization/metaversal,Series A,50000000,USD,50000000,2022-01-04,Yes,$1M to $10M,https://www.metaversal.gg/,,1,18
Series A - Kintsugi AI,https://www.crunchbase.com/funding_round/kintsugi-0524-series-a--58c614b7,"San Francisco, California, United States, North America",Kintsugi AI,https://www.crunchbase.com/organization/kintsugi-0524,Series A,4000000,USD,4000000,2024-11-19,Yes,$1M to $10M,https://trykintsugi.com,,,1
Series A - Octane,https://www.crunchbase.com/funding_round/octane-lending-series-a--4c1abcce,"New York, New York, United States, North America",Octane,https://www.crunchbase.com/organization/octane-lending,Series A,6682428,USD,6682428,2016-09-30,Yes,$1M to $10M,http://octane.co,Hispanic / Latine Founded,3,5
Series A - MainStreet,https://www.crunchbase.com/funding_round/mainstreet-08ea-series-a--c4a1ad11,"San Jose, California, United States, North America",MainStreet,https://www.crunchbase.com/organization/mainstreet-08ea,Series A,60000000,USD,60000000,2021-03-08,Yes,$10M to $50M,https://www.mainstreet.com,,7,16
Series A - Synctera,https://www.crunchbase.com/funding_round/synctera-series-a--9e22b585,"San Francisco, California, United States, North America",Synctera,https://www.crunchbase.com/organization/synctera,Series A,33000000,USD,33000000,2021-06-02,Yes,$10M to $50M,https://www.synctera.com,,5,21
Series A - Vise,https://www.crunchbase.com/funding_round/vise-ai-series-a--0d482a8d,"New York, New York, United States, North America",Vise,https://www.crunchbase.com/organization/vise-ai,Series A,14500000,USD,14500000,2020-05-12,Yes,$10M to $50M,https://vise.com,,8,11
Series A - Benepass,https://www.crunchbase.com/funding_round/benepass-series-a--1f7d6322,"New York, New York, United States, North America",Benepass,https://www.crunchbase.com/organization/benepass,Series A,12034999,USD,12034999,2021-09-29,Yes,$1M to $10M,http://www.getbenepass.com,"Women Founded, Women Led",6,7
Series A - Good Money,https://www.crunchbase.com/funding_round/good-money-series-a--efc76182,"Marina Del Rey, California, United States, North America",Good Money,https://www.crunchbase.com/organization/good-money,Series A,30000000,USD,30000000,2018-12-10,Yes,$10M to $50M,https://goodmoney.com/,Women Founded,2,17
Series A - Liquido,https://www.crunchbase.com/funding_round/liquido-series-a--83f58329,"Mountain View, California, United States, North America",Liquido,https://www.crunchbase.com/organization/liquido,Series A,20000000,USD,20000000,2021-09-30,Yes,$10M to $50M,https://www.liquido.com,,,
Series A - Array,https://www.crunchbase.com/funding_round/array-b6e3-series-a--07cfd90c,"New York, New York, United States, North America",Array,https://www.crunchbase.com/organization/array-b6e3,Series A,67000000,USD,67000000,2021-04-02,Yes,$10M to $50M,https://www.array.com,,1,11
Series A - OneBlinc Inc.,https://www.crunchbase.com/funding_round/oneblinc-series-a--c7504eda,"Dania, Florida, United States, North America",OneBlinc Inc.,https://www.crunchbase.com/organization/oneblinc,Series A,20000000,USD,20000000,2022-06-01,Yes,$1M to $10M,https://www.oneblinc.com,,2,2
Series A - Truework,https://www.crunchbase.com/funding_round/truework-series-a--e2031a60,"San Francisco, California, United States, North America",Truework,https://www.crunchbase.com/organization/truework,Series A,12000000,USD,12000000,2019-07-30,Yes,$10M to $50M,https://www.truework.com,,5,7
Series A - Mesh,https://www.crunchbase.com/funding_round/meshconnectapi-series-a--e0ed0259,"San Francisco, California, United States, North America",Mesh,https://www.crunchbase.com/organization/meshconnectapi,Series A,22000000,USD,22000000,2023-09-21,Yes,$10M to $50M,https://meshconnect.com,,4,17
Series A - Phantom,https://www.crunchbase.com/funding_round/phantom-3171-series-a--c3fe7d3c,"San Francisco, California, United States, North America",Phantom,https://www.crunchbase.com/organization/phantom-3171,Series A,9000000,USD,9000000,2021-07-14,Yes,$10M to $50M,https://phantom.com,,1,9
Series A - Securitize,https://www.crunchbase.com/funding_round/securitize-inc-series-a--3ff8dc43,"San Francisco, California, United States, North America",Securitize,https://www.crunchbase.com/organization/securitize-inc,Series A,14000000,USD,14000000,2019-09-01,Yes,$50M to $100M,https://securitize.io,Hispanic / Latine Founded,3,14
Series A - Kafene,https://www.crunchbase.com/funding_round/kafene-series-a--b2ded3db,"New York, New York, United States, North America",Kafene,https://www.crunchbase.com/organization/kafene,Series A,15000000,USD,15000000,2021-11-18,Yes,$1M to $10M,http://www.kafene.com,"South Asian Founded, South Asian Led",2,6
Series A - Alviere,https://www.crunchbase.com/funding_round/alviere-series-a--d1eef92a,"New York, New York, United States, North America",Alviere,https://www.crunchbase.com/organization/alviere,Series A,20000000,USD,20000000,2021-04-01,Yes,$10M to $50M,https://alviere.com,,3,8
Series A - Simetrik,https://www.crunchbase.com/funding_round/simetrik-series-a--8b139feb,"San Francisco, California, United States, North America",Simetrik,https://www.crunchbase.com/organization/simetrik,Series A,20000000,USD,20000000,2022-03-24,Yes,$10M to $50M,https://www.simetrik.com,,7,16
Series A - Savvy Wealth,https://www.crunchbase.com/funding_round/savvy-wealth-series-a--41b0827e,"New York, New York, United States, North America",Savvy Wealth,https://www.crunchbase.com/organization/savvy-wealth,Series A,11000000,USD,11000000,2022-11-10,Yes,$1M to $10M,https://savvywealth.com,,3,7
Series A - Ellevest,https://www.crunchbase.com/funding_round/ellevest-series-a--2f899ab9,"New York, New York, United States, North America",Ellevest,https://www.crunchbase.com/organization/ellevest,Series A,34600000,USD,34600000,2017-09-18,Yes,$10M to $50M,https://www.ellevest.com,"Women Founded, Women Led",6,16
Series A - Titan,https://www.crunchbase.com/funding_round/titan-series-a--c53408a8,"New York, New York, United States, North America",Titan,https://www.crunchbase.com/organization/titan,Series A,12500000,USD,12500000,2021-02-16,Yes,$500M to $1B,https://www.titan.com,"Black Founded, Hispanic / Latine Founded",3,11
Series A - Kikoff,https://www.crunchbase.com/funding_round/kikoff-6b3b-series-a--8cd2c6b3,"San Francisco, California, United States, North America",Kikoff,https://www.crunchbase.com/organization/kikoff-6b3b,Series A,10000000,USD,10000000,2020-07-01,Yes,$10M to $50M,https://kikoff.com/,"Women Founded, Women Led",5,6
Series A - Pulley,https://www.crunchbase.com/funding_round/pulley-series-a--4873a269,"Oakland, California, United States, North America",Pulley,https://www.crunchbase.com/organization/pulley,Series A,10000000,USD,10000000,2020-10-21,Yes,$10M to $50M,https://pulley.com/,Women Founded,1,10
Series A - Stilt,https://www.crunchbase.com/funding_round/stilt-2-series-a--ac0fc3fd,"San Francisco, California, United States, North America",Stilt,https://www.crunchbase.com/organization/stilt-2,Series A,14000000,USD,14000000,2022-03-10,Yes,Less than $1M,http://www.stilt.com,,1,9
Series A - Altro (fka Perch),https://www.crunchbase.com/funding_round/perch-0bce-series-a--df7756f5,"San Francisco, California, United States, North America",Altro (fka Perch),https://www.crunchbase.com/organization/perch-0bce,Series A,18000000,USD,18000000,2022-05-12,Yes,Less than $1M,https://www.altro.io/,Black Founded,3,9
Series A - Finix,https://www.crunchbase.com/funding_round/finix-payments-series-a--c9e7b370,"San Francisco, California, United States, North America",Finix,https://www.crunchbase.com/organization/finix-payments,Series A,17500000,USD,17500000,2019-07-16,Yes,$10M to $50M,https://finix.com,"Hispanic / Latine Founded, Hispanic / Latine Led",5,8
Series A - Upgrade,https://www.crunchbase.com/funding_round/upgrade-series-a--a8456b47,"San Francisco, California, United States, North America",Upgrade,https://www.crunchbase.com/organization/upgrade,Series A,60000000,USD,60000000,2017-03-13,Yes,$500M to $1B,http://www.upgrade.com,Women Founded,1,11
Series A - Nova Credit,https://www.crunchbase.com/funding_round/nova-credit-series-a--aef5c0db,"San Francisco, California, United States, North America",Nova Credit,https://www.crunchbase.com/organization/nova-credit,Series A,16000000,USD,16000000,2018-05-30,Yes,$1M to $10M,http://novacredit.com,Women Founded,3,6
Series A - Stem Disintermedia,https://www.crunchbase.com/funding_round/stemdisintermedia-series-a--0841c6d5,"Los Angeles, California, United States, North America",Stem Disintermedia,https://www.crunchbase.com/organization/stemdisintermedia,Series A,8000000,USD,8000000,2017-06-07,Yes,$1M to $10M,http://stem.is,"Women Founded, Women Led",1,5
Series A - Securitize,https://www.crunchbase.com/funding_round/securitize-inc-series-a--36f4c209,"San Francisco, California, United States, North America",Securitize,https://www.crunchbase.com/organization/securitize-inc,Series A,12700000,USD,12700000,2018-10-23,Yes,$50M to $100M,https://securitize.io,Hispanic / Latine Founded,,3
Series A - FX HedgePool,https://www.crunchbase.com/funding_round/fx-hedgepool-series-a--c541ab2d,"New York, New York, United States, North America",FX HedgePool,https://www.crunchbase.com/organization/fx-hedgepool,Series A,8000000,USD,8000000,2022-08-31,Yes,$1M to $10M,https://www.fxhedgepool.com/,,2,3
Series A - Ascend,https://www.crunchbase.com/funding_round/ascend-276c-series-a--a67a7c8e,"San Francisco, California, United States, North America",Ascend,https://www.crunchbase.com/organization/ascend-276c,Series A,30000000,USD,30000000,2022-01-27,Yes,$1M to $10M,https://www.useascend.com,,4,11
Series A - Multis,https://www.crunchbase.com/funding_round/multis-series-a--080806ff,"San Francisco, California, United States, North America",Multis,https://www.crunchbase.com/organization/multis,Series A,7000000,USD,7000000,2021-12-17,Yes,$1M to $10M,https://multis.com,,2,13
Series A - Jeeves Inc.,https://www.crunchbase.com/funding_round/jeeves-f2f5-series-a--b98d4beb,"Miami, Florida, United States, North America",Jeeves Inc.,https://www.crunchbase.com/organization/jeeves-f2f5,Series A,26000000,USD,26000000,2021-06-02,Yes,$10M to $50M,https://www.tryjeeves.com,,3,20
Series A - Nuvocargo,https://www.crunchbase.com/funding_round/Nuvocargo-series-a--2d500706,"New York, New York, United States, North America",Nuvocargo,https://www.crunchbase.com/organization/Nuvocargo,Series A,12000000,USD,12000000,2021-04-07,Yes,$10M to $50M,https://www.nuvocargo.com/,"Hispanic / Latine Founded, Hispanic / Latine Led",3,17
Series A - Tally,https://www.crunchbase.com/funding_round/tally-technologies-series-a--7a82da8a,"San Francisco, California, United States, North America",Tally,https://www.crunchbase.com/organization/tally-technologies,Series A,15000000,USD,15000000,2016-05-19,Yes,$1M to $10M,https://www.meettally.com,,5,4
Series A - EasyKnock,https://www.crunchbase.com/funding_round/easyknock-series-a--7413d9c0,"New York, New York, United States, North America",EasyKnock,https://www.crunchbase.com/organization/easyknock,Series A,12000000,USD,12000000,2019-05-09,Yes,$1M to $10M,https://www.easyknock.com,,4,9
Series A - Hippo Insurance,https://www.crunchbase.com/funding_round/hippo-insurance-series-a--8802d7d7,"San Jose, California, United States, North America",Hippo Insurance,https://www.crunchbase.com/organization/hippo-insurance,Series A,14000000,USD,14000000,2016-12-14,Yes,$100M to $500M,https://www.hippo.com,,4,10
Series A - X1,https://www.crunchbase.com/funding_round/x1-inc-series-a--d9eee450,"San Francisco, California, United States, North America",X1,https://www.crunchbase.com/organization/x1-inc,Series A,12000000,USD,12000000,2021-01-14,Yes,$1M to $10M,https://www.x1creditcard.com,,,6
Series A - Wrapbook,https://www.crunchbase.com/funding_round/wrapbook-series-a--718ecb6b,"New York, New York, United States, North America",Wrapbook,https://www.crunchbase.com/organization/wrapbook,Series A,27000000,USD,27000000,2021-03-09,Yes,$1M to $10M,http://www.wrapbook.com,,3,5
Series A - Point,https://www.crunchbase.com/funding_round/point-4-series-a--7deff385,"Palo Alto, California, United States, North America",Point,https://www.crunchbase.com/organization/point-4,Series A,9100000,USD,9100000,2016-09-13,Yes,$10M to $50M,https://point.com,,2,11
Series A - CommonStock,https://www.crunchbase.com/funding_round/groupstake-2-series-a--f7e23c41,"San Francisco, California, United States, North America",CommonStock,https://www.crunchbase.com/organization/groupstake-2,Series A,25000000,USD,25000000,2021-10-05,Yes,$1M to $10M,http://www.commonstock.com,,3,13
Series A - Datarails,https://www.crunchbase.com/funding_round/datarails-series-a--38769275,"New York, New York, United States, North America",Datarails,https://www.crunchbase.com/organization/datarails,Series A,18500000,USD,18500000,2021-04-20,Yes,$1M to $10M,http://www.datarails.com,,2,4
Series A - BloomCredit,https://www.crunchbase.com/funding_round/bloomcredit-series-a--6c5c9a59,"New York, New York, United States, North America",BloomCredit,https://www.crunchbase.com/organization/bloomcredit,Series A,10000000,USD,10000000,2020-10-08,Yes,$10M to $50M,https://www.bloomcredit.io,,2,7
Series A - Eco,https://www.crunchbase.com/funding_round/eco-66cd-series-a--4311193a,"San Francisco, California, United States, North America",Eco,https://www.crunchbase.com/organization/eco-66cd,Series A,26000000,USD,26000000,2021-03-05,Yes,$10M to $50M,https://eco.com/,,1,11
Series A - Ellevest,https://www.crunchbase.com/funding_round/ellevest-series-a--da1c8699,"New York, New York, United States, North America",Ellevest,https://www.crunchbase.com/organization/ellevest,Series A,34500000,USD,34500000,2019-03-11,Yes,$10M to $50M,https://www.ellevest.com,"Women Founded, Women Led",5,19
Series A - Coast,https://www.crunchbase.com/funding_round/coast-967f-series-a--fc92353e,"New York, New York, United States, North America",Coast,https://www.crunchbase.com/organization/coast-967f,Series A,27500000,USD,27500000,2022-02-17,Yes,$10M to $50M,https://coastpay.com,,3,8
Series A - Highnote,https://www.crunchbase.com/funding_round/highnote-platform-series-a--84b8a15d,"San Francisco, California, United States, North America",Highnote,https://www.crunchbase.com/organization/highnote-platform,Series A,42500000,USD,42500000,2021-09-28,Yes,$50M to $100M,https://highnote.com,,2,7
Series A - SFOX,https://www.crunchbase.com/funding_round/sfox-series-a--614a6d3b,"Los Angeles, California, United States, North America",SFOX,https://www.crunchbase.com/organization/sfox,Series A,23000000,USD,23000000,2018-08-16,Yes,$1M to $10M,https://www.sfox.com,,3,10
Series A - Routable,https://www.crunchbase.com/funding_round/routable-series-a--fae60688,"San Francisco, California, United States, North America",Routable,https://www.crunchbase.com/organization/routable,Series A,12000000,USD,12000000,2020-08-09,Yes,$10M to $50M,https://routable.com/,,,11
Series A - Rogo,https://www.crunchbase.com/funding_round/rogo-series-a--5dd9f2f9,"New York, New York, United States, North America",Rogo,https://www.crunchbase.com/organization/rogo,Series A,18500000,USD,18500000,2024-10-01,Yes,$1M to $10M,https://rogo.ai,,2,8
Series A - Arc Technologies,https://www.crunchbase.com/funding_round/arc-technologies-245d-series-a--e4ca2cdf,"San Francisco, California, United States, North America",Arc Technologies,https://www.crunchbase.com/organization/arc-technologies-245d,Series A,20000000,USD,20000000,2022-08-16,Yes,,https://www.joinarc.com,,2,11
Series A - Hummingbird,https://www.crunchbase.com/funding_round/hummingbird-fintech-series-a--0f2262d8,"Covina, California, United States, North America",Hummingbird,https://www.crunchbase.com/organization/hummingbird-fintech,Series A,8200000,USD,8200000,2020-07-16,Yes,$10M to $50M,https://hummingbird.co/,Women Founded,2,7
