Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Seed Round - ROSS Intelligence,https://www.crunchbase.com/funding_round/ross-intelligence-seed--7ce4d29c,"San Francisco, California, United States, North America",ROSS Intelligence,https://www.crunchbase.com/organization/ross-intelligence,Seed,4300000,USD,4300000,2016-01-01,"Black Founded, Hispanic / Latine Founded, Hispanic / Latine Led",1.0,6.0,"Hedgewood, Inovia Capital, Nextlaw Labs, Real Ventures, The Family, Y Combinator"
Seed Round - Echo AI,https://www.crunchbase.com/funding_round/pathlight-seed--61b3fff5,"Palo Alto, California, United States, North America",Echo AI,https://www.crunchbase.com/organization/pathlight,Seed,1100000,USD,1100000,2016-01-01,,,12.0,"Adam Goldstein, Dan Levitan, Darrell Cavens, David Wu, Dylan Smith, Emil Michael, Jack Chou, Jeff Bonforte, Jeremy Stoppelman, Mark Leslie, Matt Humphrey, Tony Bates"
Seed Round - DeepVideo,https://www.crunchbase.com/funding_round/deepvideo-seed--338dc9e2,"Fort Lauderdale, Florida, United States, North America",DeepVideo,https://www.crunchbase.com/organization/deepvideo,Seed,1000000,USD,1000000,2016-01-01,,,,
Seed Round - Browsi,https://www.crunchbase.com/funding_round/browsi-seed--bf609bf7,"New York, New York, United States, North America",Browsi,https://www.crunchbase.com/organization/browsi,Seed,3000000,USD,3000000,2016-01-01,,,2.0,"Avantis Team, Pitango VC"
Seed Round - ParkWise,https://www.crunchbase.com/funding_round/parkwise-3-seed--22a3e305,"New York, New York, United States, North America",ParkWise,https://www.crunchbase.com/organization/parkwise-3,Seed,600000,USD,600000,2016-01-01,,,,
Seed Round - Quilt Data,https://www.crunchbase.com/funding_round/quilt-data-seed--d6eea431,"San Francisco, California, United States, North America",Quilt Data,https://www.crunchbase.com/organization/quilt-data,Seed,435000,USD,435000,2016-01-05,,1.0,2.0,"Streamlined Ventures, Y Combinator"
Seed Round - NotifAi,https://www.crunchbase.com/funding_round/notifai-seed--28e0f7b1,"Aliso Viejo, California, United States, North America",NotifAi,https://www.crunchbase.com/organization/notifai,Seed,200000,USD,200000,2016-01-07,,,,
Seed Round - Chartmetric,https://www.crunchbase.com/funding_round/chartmetric-seed--5f6ebe8e,"San Mateo, California, United States, North America",Chartmetric,https://www.crunchbase.com/organization/chartmetric,Seed,1000000,USD,1000000,2016-01-10,,,,
Seed Round - Constructor,https://www.crunchbase.com/funding_round/constructor-io-seed--ee13bc9d,"San Francisco, California, United States, North America",Constructor,https://www.crunchbase.com/organization/constructor-io,Seed,1100000,USD,1100000,2016-01-26,,2.0,6.0,"Adam Riggs, Chris Fischer, Fusion Fund, Jason Davis, S2 Capital, Tikhon Bernstam"
Seed Round - Speak Music,https://www.crunchbase.com/funding_round/speak-music-inc-seed--f16ffc9e,"San Jose, California, United States, North America",Speak Music,https://www.crunchbase.com/organization/speak-music-inc,Seed,2500000,USD,2500000,2016-02-01,,,,
Seed Round - Epilog AI,https://www.crunchbase.com/funding_round/epilog-imaging-seed--1be8ef14,"San Jose, California, United States, North America",Epilog AI,https://www.crunchbase.com/organization/epilog-imaging,Seed,500000,USD,500000,2016-02-01,,,,
Seed Round - Talla,https://www.crunchbase.com/funding_round/talla-seed--f9988a1f,"New York, New York, United States, North America",Talla,https://www.crunchbase.com/organization/talla,Seed,4026848,USD,4026848,2016-02-08,,1.0,9.0,"Avalon, Drew Volpe, Hyperplane, LAUNCH, LaunchCapital, Michael Perone, Sravish Sridhar, Stage 1 Ventures, The Syndicate.com"
Seed Round - LiftIgniter,https://www.crunchbase.com/funding_round/liftigniter-seed--70b22e74,"San Francisco, California, United States, North America",LiftIgniter,https://www.crunchbase.com/organization/liftigniter,Seed,50000,USD,50000,2016-02-09,,,1.0,Princeton Alumni Entrepreneurs Fund
Seed Round - People Data Labs,https://www.crunchbase.com/funding_round/talentiq-seed--a7c4977d,"San Francisco, California, United States, North America",People Data Labs,https://www.crunchbase.com/organization/talentiq,Seed,775000,USD,775000,2016-02-10,,,4.0,"CSC Upshot, David J. Namdar, E-Merge, Forum Ventures"
