Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Series A - CompScience,,"San Francisco, California, United States, North America",CompScience,,Series A,"$10,000,000",,,07/27/2023,—,1,2,"Four More Capital, Valor Equity Partners"
Series A - Azzurra Health,,"Los Angeles, California, United States, North America",Azzurra Health,,Series A,"$120,000",,,07/28/2023,—,—,—,—
Series A - Topline Pro,,"New York, New York, United States, North America",Topline Pro,,Series A,"$12,000,000",,,07/31/2023,Women Founded,4,4,"BBG Ventures, Bonfire Ventures, Forerunner, TMV"
Series A - Inworld AI,,"Mountain View, California, United States, North America",Inworld AI,,Series A,"$56,000,000",,,08/02/2023,—,3,8,"Dentsu Ventures, First Spark Ventures, LG Technology Ventures, Lightspeed Venture Partners, M12 - Microsoft's Venture Fund, Samsung NEXT, Stanford University, XRM Media"
Series A - Kernel / Counter Service,,"New York, New York, United States, North America",Kernel / Counter Service,,Series A,"$36,000,000",,,08/10/2023,—,—,3,"Raga Partners, Virtru Investment Partners, Willoughby Capital"
Series A - Dynamo AI,,"San Francisco, California, United States, North America",Dynamo AI,,Series A,"$15,100,000",,,08/16/2023,—,2,7,"Canapi Ventures, Charu Jangid, Formus Capital, Nexus Venture Partners, Soma Capital, Tolga, Vojta Jína"
Series A - AnthologyAI,,"New York, New York, United States, North America",AnthologyAI,,Series A,"$15,000,000",,,08/16/2023,—,6,9,"1707 Capital, AAF Management Ltd., AME Cloud Ventures, B3 Capital, Industry Ventures, Lightning Capital, Montage Ventures, Nava Ventures, Streamlined Ventures"
Series A - Aether Bio,,"Menlo Park, California, United States, North America",Aether Bio,,Series A,"$49,000,000",,,08/16/2023,—,3,4,"Amplifier, Good AI Capital, Natural Capital, Unless"
Series A - Tavus,,"San Francisco, California, United States, North America",Tavus,,Series A,"$18,000,000",,,08/29/2023,—,1,4,"HubSpot, Scale Venture Partners, Sequoia Capital, Y Combinator"
Series A - Klleon,,"San Mateo, California, United States, North America",Klleon,,Series A,"₩9,500,000,000",,,09/13/2023,—,1,3,"Kakao Investment, LB Investment, Samsung Venture Investment"
Series A - Connectly.ai,,"Redwood City, California, United States, North America",Connectly.ai,,Series A,"$7,850,000",,,09/21/2023,—,1,3,"RX Ventures, Saurabh Gupta, Volpe Capital"
Series A - Kolena,,"San Francisco, California, United States, North America",Kolena,,Series A,"$15,000,000",,,09/26/2023,—,2,5,"11.2 Capital, Bloomberg Beta, lobby capital, SignalFire, Zero Prime Ventures"
Series A - XL8,,"San Jose, California, United States, North America",XL8,,Series A,"$7,500,000",,,09/26/2023,—,2,2,"Atinum Partners, KB Investment"
Series A - Erudit,,"Miami, Florida, United States, North America",Erudit,,Series A,"$10,000,000",,,09/26/2023,—,1,5,"Athos Capital, Conexo Ventures, Fondo Bolsa Social, IGNIA, True Blue Partners"
Series A - Cleanlab,,"San Francisco, California, United States, North America",Cleanlab,,Series A,"$25,000,000",,,10/10/2023,—,4,4,"Bain Capital Ventures, Databricks Ventures, Menlo Ventures, TQ Ventures"
Series A - Project Log Systems,,"San Francisco, California, United States, North America",Project Log Systems,,Series A,"$160,000",,,10/18/2023,—,—,1,Startup Weekend
Series A - Aqtual,,"Hayward, California, United States, North America",Aqtual,,Series A,"$16,000,000",,,10/31/2023,Women Founded,—,3,"Genoa Ventures, Manta Ray Ventures, Yu Galaxy"
Series A - ImpriMed,,"Mountain View, California, United States, North America",ImpriMed,,Series A,"$23,000,000",,,11/06/2023,Women Founded,1,9,"Byucksan, Han River Partners, Ignite Innovation Fund, Korea Development Bank, Mayo Clinic, Murex Partners, Samyang Chemical Group, SBVA, SK Telecom Ventures"
Series A - Pika,,"Palo Alto, California, United States, North America",Pika,,Series A,"$35,000,000",,,11/28/2023,Women Founded,—,12,"Adam D’Angelo, Alex Chung, Andrej Karpathy, Ben’s Bites, Clément Delangue, Conviction Capital, Craig Kallman, Factorial Capital, Homebrew, Lightspeed Venture Partners, Ricky Horwitz, SV Angel"
Series A - Together AI,,"San Francisco, California, United States, North America",Together AI,,Series A,"$102,500,000",,,11/29/2023,—,—,3,"Emergence Capital, Kleiner Perkins, NVIDIA"
Series A - Syrup Tech,,"New York, New York, United States, North America",Syrup Tech,,Series A,"$17,800,000",,,12/01/2023,—,1,5,"1984 Ventures, Accel, Atacama Ventures, Flybridge, Gradient"
Series A - Spade,,"New York, New York, United States, North America",Spade,,Series A,"$10,000,000",,,12/06/2023,Women Founded,3,6,"Andreessen Horowitz, Dash Fund, Everywhere Ventures, Flourish Ventures, Gradient, Y Combinator"
Series A - Arc Web Solutions,,"Los Angeles, California, United States, North America",Arc Web Solutions,,Series A,"$140,000",,,12/06/2023,Women Founded,—,—,—
Series A - Yogi,,"New York, New York, United States, North America",Yogi,,Series A,"$10,000,000",,,12/07/2023,—,1,6,"Blueprint Equity, Data Point Capital, Jaffray Woodriff, Remarkable Ventures, RTP Global, ScOp Venture Capital"
Series A - Mr Bell Technologies,,"Santa Clara, California, United States, North America",Mr Bell Technologies,,Series A,"$200,000",,,12/08/2023,—,—,—,—
Series A - Augment Code,,"Palo Alto, California, United States, North America",Augment Code,,Series A,"$25,000,000",,,01/01/2024,—,2,2,"Sutter Hill Ventures, SV Angel"
Series A - Félix,,"San Francisco, California, United States, North America",Félix,,Series A,"$11,165,292",,,01/22/2024,—,—,3,"Castle Island Ventures, H20 Capital, Switch Ventures"
Series A - Revv,,"Brooklyn, New York, United States, North America",Revv,,Series A,"$11,200,000",,,02/01/2024,Women Founded,—,3,"1984 Ventures, Aglaé Ventures, Left Lane Capital"
Series A - Zuma,,"San Francisco, California, United States, North America",Zuma,,Series A,"$10,000,000",,,02/02/2024,—,—,—,—
Series A - LangChain,,"San Francisco, California, United States, North America",LangChain,,Series A,"$25,000,000",,,02/15/2024,—,—,1,Sequoia Capital
Series A - NLX,,"New York, New York, United States, North America",NLX,,Series A,"$12,000,000",,,02/26/2024,—,2,7,"Cercano Management, Engage Capital, HL Ventures, IAG Capital Partners, JetBlue Ventures, Tech Square Ventures, Thayer Ventures"
Series A - Collov,,"Redwood City, California, United States, North America",Collov,,Series A,"$10,000,000",,,02/27/2024,—,—,3,"Ameba Capital, Brightway Future Capital, Xiamen Goldenhome"
Series A - Prescient AI,,"Miami, Florida, United States, North America",Prescient AI,,Series A,"$10,000,000",,,03/12/2024,—,4,4,"Blumberg Capital, CEAS Investments, focal, Headline"
Series A - Cognition,,"San Francisco, California, United States, North America",Cognition,,Series A,"$21,000,000",,,03/12/2024,—,1,9,"Eric Glyman, Erik Bernhardsson, Founders Fund, Fred Ehrsam, John Collison, Karim Atiyeh, Pear VC, Sarah Guo, Tony Xu"
Series A - Aknext,,"New York, New York, United States, North America",Aknext,,Series A,"$98,000",,,03/13/2024,—,—,1,Techstars
Series A - Together AI,,"San Francisco, California, United States, North America",Together AI,,Series A,"$106,000,000",,,03/13/2024,—,3,16,"Clément Delangue, Coatue, Definition, Emergence Capital, Factory, Greycroft, Kleiner Perkins, Long Journey Ventures, Lux Capital, Manu Sharma, New Enterprise Associates, Prosperity7 Ventures, Salesforce Ventures, Scott Banister, Soumith Chintala, SV Angel"
Series A - Hippocratic AI,,"Palo Alto, California, United States, North America",Hippocratic AI,,Series A,"$53,000,000",,,03/18/2024,—,4,8,"Andreessen Horowitz, Cincinnati Children’s, General Catalyst, Memorial Hermann Foundation, Premji Invest, SV Angel, Universal Health Services, WellSpan Health"
Series A - Foundry,,"Palo Alto, California, United States, North America",Foundry,,Series A,"$80,000,000",,,03/21/2024,—,2,6,"Conviction VC, Lightspeed Venture Partners, M12 - Microsoft's Venture Fund, New Enterprise Associates, Redpoint, Sequoia Capital"
Series A - HeyGen,,"Los Angeles, California, United States, North America",HeyGen,,Series A,"$60,000,000",,,03/25/2024,—,1,8,"Aviv Nevo, Benchmark, Bond, Conviction VC, Dylan Field, Neil Mehta, SV Angel, Thrive Capital"
Series A - Activeloop,,"Mountain View, California, United States, North America",Activeloop,,Series A,"$11,000,000",,,03/26/2024,"Middle Eastern / North African Founded, Middle Eastern / North African Led",2,6,"AAL VC, Alumni Ventures, Dispersion Capital, Samsung NEXT, Streamlined Ventures, Y Combinator"
Series A - Lamini,,"Palo Alto, California, United States, North America",Lamini,,Series A,"$25,000,000",,,04/01/2024,—,1,10,"AMD Ventures, Amplify Partners, Andrej Karpathy, Andrew Ng, Bernard Arnault, Drew Houston, Dylan Field, Lip-Bu Tan, Pierre Lamond, Sarah Guo"
