Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Diversity Spotlight,Number of Partner Investors,Number of Investors,Investor Names
Series A - Avoma,https://www.crunchbase.com/funding_round/avoma-series-a--856be491,"Palo Alto, California, United States, North America",Avoma,https://www.crunchbase.com/organization/avoma,Series A,12000000,USD,12000000,12/22/2021,,1,9,"Dragon Capital, Global Founders Capital, Headline, Industry Ventures, K9 Ventures, Operator Partners, Storm Ventures, Twin Ventures, Zoom Apps Fund"
Series A - Outerbounds,https://www.crunchbase.com/funding_round/outerbounds-series-a--75911ab9,"San Francisco, California, United States, North America",Outerbounds,https://www.crunchbase.com/organization/outerbounds,Series A,18500000,USD,18500000,12/31/2021,,4,4,"Amplify Partners, Costanoa Ventures, Foundation Capital, Greenoaks"
Series A - Ockam,https://www.crunchbase.com/funding_round/ockam-series-a--655d036f,"San Francisco, California, United States, North America",Ockam,https://www.crunchbase.com/organization/ockam,Series A,12500000,USD,12500000,1/5/2022,,4,8,"Alumni Ventures, Core Ventures, Craft Ventures, Future Ventures, Gaingels, OCV, Okta Ventures, SineWave Ventures"
Series A - DeepScribe,https://www.crunchbase.com/funding_round/deepscribe-series-a--c57098a3,"San Francisco, California, United States, North America",DeepScribe,https://www.crunchbase.com/organization/deepscribe,Series A,30000000,USD,30000000,1/11/2022,,3,6,"1984 Ventures, Alexandr Wang, Bee Partners, Dylan Field, Index Ventures, Stage 2 Capital"
Series A - Second Nature AI,https://www.crunchbase.com/funding_round/secondnature-ai-series-a--7eca78c4,"Covina, California, United States, North America",Second Nature AI,https://www.crunchbase.com/organization/secondnature-ai,Series A,12500000,USD,12500000,1/12/2022,,4,4,"Cardumen Capital, Signals Venture Capital, StageOne Ventures, Zoom Apps Fund"
Series A - Vectice,https://www.crunchbase.com/funding_round/vectice-series-a--dca41d7c,"San Francisco, California, United States, North America",Vectice,https://www.crunchbase.com/organization/vectice,Series A,12600000,USD,12600000,1/18/2022,,2,5,"Crosslink Capital, Global Founders Capital, Silicon Valley Bank, Sorenson Ventures, Spider Capital"
Series A - Chatdesk,https://www.crunchbase.com/funding_round/chatdesk-375c-series-a--a7317857,"New York, New York, United States, North America",Chatdesk,https://www.crunchbase.com/organization/chatdesk-375c,Series A,7000000,USD,7000000,1/18/2022,"Black Founded, Black Led",1,7,"Cultivation Capital, Fika Ventures, Harlem Capital, Lunch Partners, Menlo Ventures, Serena Ventures, Stormbreaker Ventures"
Series A - Klarity,https://www.crunchbase.com/funding_round/klarity-series-a--92838267,"San Francisco, California, United States, North America",Klarity,https://www.crunchbase.com/organization/klarity,Series A,18000000,USD,18000000,1/24/2022,,3,19,"Brad Lightcap, Brandon Deer, Crew Capital, Daniel Dines, Daniel Gross, David Sipes, Douglas Solomon, Dylan Reider, Germaine Cota, Invus Opportunities, Ironwood Ventures, Janine Korovesis, Jason Kwon, Nat Friedman, Picus Capital, Ron Gill, Sam Wilson, Tola Capital, Tony Tiscornia"
Series A - DigitalOwl,https://www.crunchbase.com/funding_round/digitalowl-series-a--0d2d8ec0,"New York, New York, United States, North America",DigitalOwl,https://www.crunchbase.com/organization/digitalowl,Series A,20000000,USD,20000000,1/26/2022,,1,3,"Fusion, Ibex Investors, Insight Partners"
Series A - Deepnote,https://www.crunchbase.com/funding_round/deepnote-series-a--095f7564,"San Francisco, California, United States, North America",Deepnote,https://www.crunchbase.com/organization/deepnote,Series A,20000000,USD,20000000,1/31/2022,,1,15,"Aaron Katz, Accel, Credo Ventures, Daniel Gross, DIG Ventures, Dylan Field, Elena Verna, Greg Brockman, Index Ventures, Melissa Tan, Michel Tricot, Naval Ravikant, Paul Copplestone, Raghu Dhara, Y Combinator"
Series A - Tint.ai,https://www.crunchbase.com/funding_round/tint-ai-series-a--11c144c8,"San Francisco, California, United States, North America",Tint.ai,https://www.crunchbase.com/organization/tint-ai,Series A,25000000,USD,25000000,2/1/2022,,2,5,"Deciens Capital, Nyca Partners, QED Investors, Webb Investment Network, Y Combinator"
Series A - deckrobot,https://www.crunchbase.com/funding_round/deckrobot-series-a--b04d0681,"San Francisco, California, United States, North America",deckrobot,https://www.crunchbase.com/organization/deckrobot,Series A,2350000,USD,2350000,2/1/2022,,,2,"NZVC, Pragmatech Ventures"
Series A - Rain AI,https://www.crunchbase.com/funding_round/rain-neuromorphics-series-a--b9e3aab7,"Redwood City, California, United States, North America",Rain AI,https://www.crunchbase.com/organization/rain-neuromorphics,Series A,25000000,USD,25000000,2/2/2022,"LGBTQ+ Founded, LGBTQ+ Led",1,11,"Buckley Ventures, Driving Forces, Gaingels, George Godula, Guillaume Glaunès, Helium-3 Ventures, Loup Ventures, Pioneer Fund, Prosperity7 Ventures, Team Ignite Ventures, Vishal Rao"
Series A - Nfinite,https://www.crunchbase.com/funding_round/hubstairs-series-a--e5d7fd07,"New York, New York, United States, North America",Nfinite,https://www.crunchbase.com/organization/hubstairs,Series A,15000000,USD,15000000,2/3/2022,,1,1,U.S. Venture Partners
Series A - Rezolve AI,https://www.crunchbase.com/funding_round/rezolve-ai-series-a--3fad7b89,"Dublin, California, United States, North America",Rezolve AI,https://www.crunchbase.com/organization/rezolve-ai,Series A,10000000,USD,10000000,2/4/2022,,,1,100Unicorns
Series A - Celestial AI,https://www.crunchbase.com/funding_round/celestial-ai-series-a--9f048187,"Santa Clara, California, United States, North America",Celestial AI,https://www.crunchbase.com/organization/celestial-ai,Series A,56000000,USD,56000000,2/4/2022,Women Founded,2,7,"Fitz Gate Ventures, imec.xpand, Koch Disruptive Technologies, M Ventures, Temasek Holdings, The Engine, Tyche Partners"
Series A - Promethium,https://www.crunchbase.com/funding_round/promethium-inc-series-a--c1de0ff3,"Menlo Park, California, United States, North America",Promethium,https://www.crunchbase.com/organization/promethium-inc,Series A,26000000,USD,26000000,2/8/2022,,2,3,".406 Ventures, Insight Partners, Zetta Venture Partners"
Series A - Cerebra,https://www.crunchbase.com/funding_round/cerebra-technologies-inc-series-a--dc683b0c,"San Francisco, California, United States, North America",Cerebra,https://www.crunchbase.com/organization/cerebra-technologies-inc,Series A,15000000,USD,15000000,2/8/2022,,,3,"Apex Black, Notion Capital, Wing Venture Capital"
Series A - Devron,https://www.crunchbase.com/funding_round/devron-series-a--9a1a637c,"New York, New York, United States, North America",Devron,https://www.crunchbase.com/organization/devron,Series A,12000000,USD,12000000,2/9/2022,,,3,"Afore Capital, FinTech Collective, Tiger Global Management"
Series A - Wallaroo,https://www.crunchbase.com/funding_round/sendence-series-a--0e4bbc3d,"New York, New York, United States, North America",Wallaroo,https://www.crunchbase.com/organization/sendence,Series A,25000000,USD,25000000,2/9/2022,,1,5,"boldstart ventures, Contour Venture Partners, Eniac Ventures, Greycroft, M12 - Microsoft's Venture Fund"
Series A - Kyro Digital Corp.,https://www.crunchbase.com/funding_round/kyro-da9e-series-a--a2a377ac,"San Francisco, California, United States, North America",Kyro Digital Corp.,https://www.crunchbase.com/organization/kyro-da9e,Series A,9416900,USD,9416900,2/10/2022,Women Founded,,12,"Avalanche, Brad Koenig, Decasonic, Drive Capital, Fenbushi Capital, Information Capital LLC, Polygon, Rally, Signum Capital, Tezos, UOB Venture, Woodside Incubator"
Series A - Nanonets,https://www.crunchbase.com/funding_round/nanonets-series-a--38b618ae,"San Francisco, California, United States, North America",Nanonets,https://www.crunchbase.com/organization/nanonets,Series A,10000000,USD,10000000,2/16/2022,,2,16,"Amar Goel, Ashish Gupta, Ashton Kutcher, Elevation Capital, Gautam Kumar, Khadim Batti, Krish Subramanian, Kushal Nahata, Nakul Aggarwal, Rajaraman Santhanam, Ritesh Arora, Soma Capital, SV Angel, Varakumar Namburu, Vetri Vetrivelkumaran Vellore, Y Combinator"
Series A - Overview.ai,https://www.crunchbase.com/funding_round/overview-ai-series-a--f44e26e7,"San Francisco, California, United States, North America",Overview.ai,https://www.crunchbase.com/organization/overview-ai,Series A,10000000,USD,10000000,2/17/2022,,2,8,"Alumni Ventures, Bain Capital, Bain Capital Ventures, Blumberg Capital, Castor Ventures, Green D Ventures, GV, Momenta"
Series A - SKAEL,https://www.crunchbase.com/funding_round/skael-series-a--07102e35,"San Francisco, California, United States, North America",SKAEL,https://www.crunchbase.com/organization/skael,Series A,38000000,USD,38000000,2/21/2022,,3,3,"Bonfire Ventures, Dell Technologies Capital, RTP Global"
Series A - Grata,https://www.crunchbase.com/funding_round/grata-data-series-a--9a60091c,"New York, New York, United States, North America",Grata,https://www.crunchbase.com/organization/grata-data,Series A,25000000,USD,25000000,2/22/2022,,1,7,"Accomplice, Altai Ventures, Bling Capital, Cerity Partners Ventures, Craft Ventures, Eigen Ventures, Teamworthy Ventures"
Series A - Aporia,https://www.crunchbase.com/funding_round/aporia-technologies-ltd-series-a--0a9b19ef,"San Jose, California, United States, North America",Aporia,https://www.crunchbase.com/organization/aporia-technologies-ltd,Series A,25000000,USD,25000000,2/22/2022,,2,5,"Samsung NEXT, Tal Ventures, Tiger Global Management, TLV Partners, Vertex Ventures"
Series A - Kintsugi,https://www.crunchbase.com/funding_round/kintsugi-series-a--3d5939d5,"Berkeley, California, United States, North America",Kintsugi,https://www.crunchbase.com/organization/kintsugi,Series A,20000000,USD,20000000,2/28/2022,"Women Founded, Women Led",2,9,"Acrew Capital, Alpha Edison, AngelList, Citta Capital, focal, Insight Partners, IT-Farm, Primetime Partners, Side Door Ventures"
Series A - Bright Security,https://www.crunchbase.com/funding_round/neuralegion-series-a--9c831298,"San Rafael, California, United States, North America",Bright Security,https://www.crunchbase.com/organization/neuralegion,Series A,20000000,USD,20000000,3/1/2022,,3,5,"DNX Ventures, Evolution Equity Partners, Fusion Fund, Incubate Fund, J-Ventures"
Series A - HerculesAI,https://www.crunchbase.com/funding_round/zero-2-series-a--6e580c3e,"Campbell, California, United States, North America",HerculesAI,https://www.crunchbase.com/organization/zero-2,Series A,12000000,USD,12000000,3/1/2022,,2,10,"468 Capital, AISprouts, AltaIR Capital, Davidovs Venture Collective, Flyer One Ventures, Gutbrain Ventures, Paul Grewal, PBJ Capital, s16vc, Streamlined Ventures"
Series A - AssemblyAI,https://www.crunchbase.com/funding_round/assemblyai-series-a--496a512a,"San Francisco, California, United States, North America",AssemblyAI,https://www.crunchbase.com/organization/assemblyai,Series A,28000000,USD,28000000,3/4/2022,,1,7,"Accel, Daniel Gross, John Collison, MAVA Ventures, Nat Friedman, TechNexus Venture Collaborative, Y Combinator"
Series A - PublishDrive,https://www.crunchbase.com/funding_round/publishdrive-series-a--475cfe60,"Redwood City, California, United States, North America",PublishDrive,https://www.crunchbase.com/organization/publishdrive,Series A,2000000,USD,2000000,3/7/2022,"Women Founded, Women Led",,1,Lead Ventures
Series A - OccamzRazor,https://www.crunchbase.com/funding_round/occamzrazor-razor-inc-series-a--94037478,"New York, New York, United States, North America",OccamzRazor,https://www.crunchbase.com/organization/occamzrazor-razor-inc,Series A,6100000,USD,6100000,3/8/2022,"Women Founded, Women Led",,5,"Jeff Dean, Lanx Capital, Lauder Partners, re.Mind Capital, Valor Equity Partners"
Series A - Selector,https://www.crunchbase.com/funding_round/selector-software-series-a--c6beb13e,"Santa Clara, California, United States, North America",Selector,https://www.crunchbase.com/organization/selector-software,Series A,28000000,USD,28000000,3/15/2022,,,4,"Atlantic Bridge, Azure Capital Partners, SineWave Ventures, Two Bear Capital"
Series A - Zippedi,https://www.crunchbase.com/funding_round/zippedi-series-a--5c8969ec,"Burlingame, California, United States, North America",Zippedi,https://www.crunchbase.com/organization/zippedi,Series A,12500000,USD,12500000,3/16/2022,,,6,"Bossa Invest, Endeavor Catalyst, Gen 1 Capital, Jason Green, Magical, Transpose Platform Management"
Series A - Alife,https://www.crunchbase.com/funding_round/alife-health-series-a--5e61f75e,"San Francisco, California, United States, North America",Alife,https://www.crunchbase.com/organization/alife-health,Series A,22000000,USD,22000000,3/22/2022,,3,4,"Farvatn Venture, Lux Capital, Maveron, Union Square Ventures"
Series A - Pinecone,https://www.crunchbase.com/funding_round/pinecone-series-a--c1d93edc,"New York, New York, United States, North America",Pinecone,https://www.crunchbase.com/organization/pinecone,Series A,28000000,USD,28000000,3/29/2022,,3,3,"Menlo Ventures, Tiger Global Management, Wing Venture Capital"
Series A - Black Crow AI,https://www.crunchbase.com/funding_round/black-crow-ai-series-a--853fd225,"New York, New York, United States, North America",Black Crow AI,https://www.crunchbase.com/organization/black-crow-ai,Series A,25000000,USD,25000000,3/31/2022,,1,11,"Bloomberg Beta, Good Friends, Habitat Partners, Imaginary Ventures, Interlock Partners, Interplay, Left Lane Capital, Primary Venture Partners, Tapestry VC, Vast Ventures, William Ackman"
Series A - MoBagel,https://www.crunchbase.com/funding_round/mobagel-series-a--404c26d4,"Santa Clara, California, United States, North America",MoBagel,https://www.crunchbase.com/organization/mobagel,Series A,12000000,USD,12000000,4/1/2022,"East Asian Founded, South Asian Founded, Women Founded",1,7,"Brightway Future Capital, CDIB Capital Group, KYMCO Capital, SparkLabs Taiwan, UpHonest Capital, USI Capital (ASE Group), Wistron Corporation"
Series A - Docyt,https://www.crunchbase.com/funding_round/docyt-series-a--f5ee7171,"Santa Clara, California, United States, North America",Docyt,https://www.crunchbase.com/organization/docyt,Series A,11500000,USD,11500000,4/6/2022,,2,4,"First Rays Venture Partners, lobby capital, Morado Ventures, Page One Ventures"
Series A - Kumo.AI,https://www.crunchbase.com/funding_round/kumo-ai-series-a--4a507216,"Mountain View, California, United States, North America",Kumo.AI,https://www.crunchbase.com/organization/kumo-ai,Series A,18500000,USD,18500000,4/7/2022,Women Founded,,12,"A.Capital Ventures, Cory Scott, David Chaiken, Greg Greeley, Igor Perisic, Li Fan, Rob Eldridge, Ronald Conway, Sequoia Capital, Sridhar Ramaswamy, SV Angel, Tristan Handy"
Series A - Mirage,https://www.crunchbase.com/funding_round/captions-series-a--fd2753ad,"New York, New York, United States, North America",Mirage,https://www.crunchbase.com/organization/captions,Series A,11000000,USD,11000000,4/8/2022,,3,6,"Adjacent, Andreessen Horowitz, Chapter One, Ludlow Ventures, Sequoia Capital, The Twenty Minute VC"
Series A - Viam,https://www.crunchbase.com/funding_round/viam-5684-series-a--e036b1c5,"New York, New York, United States, North America",Viam,https://www.crunchbase.com/organization/viam-5684,Series A,30000000,USD,30000000,4/11/2022,,2,5,"12 West Capital, Battery Ventures, Schox Venture Capital, Tiger Global Management, Union Square Ventures"
Series A - AIxMed,https://www.crunchbase.com/funding_round/aixmed-series-a--2d3fc17b,"Santa Clara, California, United States, North America",AIxMed,https://www.crunchbase.com/organization/aixmed,Series A,499999,USD,499999,4/15/2022,,,1,Taiwania Capital Management Corporation
